,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
peanutsPrice,0.406097047704269,0.3882562812027029,0.42863425133107186,0.41368668769696354,0.15317303278138972,0.024308955182417196,0.17942067011435792,-0.33210214492329876,0.15632456712222115,0.5461333411729251,1.0,0.010175968786232413,0.5050293123717895,-0.3312669859952503,0.34172019907543383,0.46340049854975834,0.5086318274779298,0.5099539742186915,0.6299518160841293,0.5968098069087431,0.21654011476485244,0.09921924111634646
flaxseedPrice,-0.07296845324520339,-0.09272461510014544,-0.0654093895302334,-0.08061637764468839,0.3495867223359485,0.35263426407687437,0.8184741907657542,0.41784673399381794,0.03209090744639778,0.1636915504651382,0.010175968786232413,1.0,-0.44062537742800384,-0.5156769712089464,0.15997247553083455,0.2278791760744,0.2524871869717862,-0.34406563899537784,0.3690437873856197,0.31513887132479373,0.21519942742541925,0.6320370294831212
soybeanOilPrice,0.7446941115768944,0.7338543816135615,0.7554624297044062,0.7439276509160144,0.12211493028813221,0.03986594494223711,-0.41413337819541424,-0.5935297801621184,-0.09644947385434198,0.5798741148881235,0.5050293123717895,-0.44062537742800384,1.0,0.16586818009724,0.5853416824247266,0.45513020628564677,-0.08583215106140737,0.7923206968606638,0.2536245636863826,0.29928238043612004,0.5009046903932403,-0.416140918130512
cottonseedOilPrice,0.007839828163041412,0.03652495202318914,-0.014372048497140773,0.004955514575659943,-0.3951318661218552,-0.2826925699490899,-0.4748774058312077,-0.17787360058808435,0.39372044858074684,-0.25350764859859065,-0.3312669859952503,-0.5156769712089464,0.16586818009724,1.0,-0.22931380244197305,-0.6062127013882502,-0.5744859317282381,0.08420184554668417,-0.5075422173352939,-0.6341849871524756,-0.06214740256344292,-0.3810410582648219
sunflowerseedOilPrice,0.3973295967785695,0.3665249554283159,0.4207092838792856,0.3906925808372452,0.4816964178926216,0.38179697499417004,-0.0015020733232456362,-0.3580490794356454,-0.2115178611738337,0.5416357631724805,0.34172019907543383,0.15997247553083455,0.5853416824247266,-0.22931380244197305,1.0,0.5560590179594591,0.24648237198137798,0.6293940507416758,0.18851289113338687,0.3718516980228138,0.3173329147391736,-0.016980234365277964
canolaOilPrice,0.35114939181806576,0.3217343455592702,0.3712791420123412,0.35071547357083255,0.4650266791759675,0.3801352517428248,-0.014603786784929833,-0.05425098489424281,-0.5490579719287481,0.38561460916156404,0.46340049854975834,0.2278791760744,0.45513020628564677,-0.6062127013882502,0.5560590179594591,1.0,0.205842353271101,0.33004082524532613,0.28990349266194204,0.420632008967612,0.31034695221901965,-0.017122863657686966
peanutOilPrice,-0.1818092801105029,-0.20758279028774668,-0.1532023608141949,-0.17791787051238842,0.032598283312251605,-0.11543458692664774,0.40332088218190515,-0.10570788068699992,0.024676288363305595,0.11636941001299358,0.5086318274779298,0.2524871869717862,-0.08583215106140737,-0.5744859317282381,0.24648237198137798,0.205842353271101,1.0,0.29038618869720456,0.48325784945726324,0.361354004439481,-0.3844048401206015,0.48666750714196705
cornOilPrice,0.47889535007569894,0.45785309155999276,0.5000502502020217,0.47677487947178815,0.09149524662291046,-0.04376990642437556,-0.25198099812510094,-0.557082740520849,0.01170988331739127,0.5534555992841391,0.5099539742186915,-0.34406563899537784,0.7923206968606638,0.08420184554668417,0.6293940507416758,0.33004082524532613,0.29038618869720456,1.0,0.3240132656557386,0.16080692614292866,0.24677361011066906,-0.056582129099288635
soybeanMealPrice,0.504550940830641,0.48397436006276007,0.5226873002968705,0.5044728551682961,0.1585998223971443,0.03360589579277628,0.6446970093173807,-0.12316993109980037,0.2282897604703324,0.753710038038145,0.6299518160841293,0.3690437873856197,0.2536245636863826,-0.5075422173352939,0.18851289113338687,0.28990349266194204,0.48325784945726324,0.3240132656557386,1.0,0.734607819131664,0.510879034513897,0.4754139515754407
cottonseedmealPrice,0.5018886835888863,0.48204543832444113,0.5176788625834782,0.5030594784851562,0.34627362680603596,0.20324301862401328,0.4600052977172225,-0.10686321289566346,-0.12994331842014312,0.6843271157944182,0.5968098069087431,0.31513887132479373,0.29928238043612004,-0.6341849871524756,0.3718516980228138,0.420632008967612,0.361354004439481,0.16080692614292866,0.734607819131664,1.0,0.44964756073470075,0.1941788557294712
sunflowerseedMealPrice,0.7964742327027028,0.787295428122937,0.79636163550414,0.7896124570849827,0.3954637484388368,0.36681825924075756,0.22838888051288475,-0.12667868188840475,0.047536668020643345,0.7592264113768069,0.21654011476485244,0.21519942742541925,0.5009046903932403,-0.06214740256344292,0.3173329147391736,0.31034695221901965,-0.3844048401206015,0.24677361011066906,0.510879034513897,0.44964756073470075,1.0,-0.06957755872903891
linseedMealPrice,-0.20928775413908995,-0.22847392347438736,-0.1978772218029323,-0.21593707475604837,-0.13771662266808088,-0.18567068058673128,0.6946633291174661,0.19842195191077547,0.3289624511054551,0.2060212626324611,0.09921924111634646,0.6320370294831212,-0.416140918130512,-0.3810410582648219,-0.016980234365277964,-0.017122863657686966,0.48666750714196705,-0.056582129099288635,0.4754139515754407,0.1941788557294712,-0.06957755872903891,1.0
